Change Type,Commit SSH,File Name,From Signature, To Signature
REMOVE,9f521281e257dc4dd24f0425588bf37c2a902040,camunda-spring-boot-starter-example-web/src/main/java/org/camunda/bpm/spring/boot/starter/example/web/RestApplication.java,ResourceConfig jerseyConfig(),null
REMOVE,2da5de28059b338f6ffbf7dacc8e98ff4fa62f76,camunda-spring-boot-starter-example-cloud/src/test/java/org/camunda/bpm/spring/boot/starter/example/cloud/simple/SampleProcessTest.java,void shutdown(),null
REMOVE,2da5de28059b338f6ffbf7dacc8e98ff4fa62f76,camunda-spring-boot-starter-example-cloud/src/test/java/org/camunda/bpm/spring/boot/starter/example/cloud/simple/ShowcaseTest.java,void shutdown(),null
REMOVE,2da5de28059b338f6ffbf7dacc8e98ff4fa62f76,camunda-spring-boot-starter-example-simple/src/test/java/org/camunda/bpm/spring/boot/starter/example/simple/SampleProcessTest.java,void shutdown(),null
REMOVE,2da5de28059b338f6ffbf7dacc8e98ff4fa62f76,camunda-spring-boot-starter-example-simple/src/test/java/org/camunda/bpm/spring/boot/starter/example/simple/ShowcaseTest.java,void shutdown(),null
ADD,3644a83c37851d4d5080f153d2ac97d2bc9eccaf,camunda-spring-boot-starter-example-cloud/src/test/java/org/camunda/bpm/spring/boot/starter/example/cloud/simple/SampleProcessTest.java,null,void shutdown()
ADD,3644a83c37851d4d5080f153d2ac97d2bc9eccaf,camunda-spring-boot-starter-example-cloud/src/test/java/org/camunda/bpm/spring/boot/starter/example/cloud/simple/ShowcaseTest.java,null,void shutdown()
ADD,0b2741532bdb340b736ac2d96ecc697c24253f47,camunda-spring-boot-starter-example-simple/src/test/java/org/camunda/bpm/spring/boot/starter/example/simple/SampleProcessTest.java,null,void shutdown()
ADD,0b2741532bdb340b736ac2d96ecc697c24253f47,camunda-spring-boot-starter-example-simple/src/test/java/org/camunda/bpm/spring/boot/starter/example/simple/ShowcaseTest.java,null,void shutdown()
ADD,84c0f51cb74c4c4be18aa02f93144068aa9cb701,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplication.java,null,SpringBootProcessApplication processApplication()
ADD,84c0f51cb74c4c4be18aa02f93144068aa9cb701,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplication.java,null,void run(String[])
