Type,Commit SSH,File Name,From Signature, To Signature
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilder.java,public KafkaItemReaderBuilder<K; V> topicPartitions(List<TopicPartition> topicPartitions),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilder.java,public KafkaItemReaderBuilder<K; V> topics(List<String> topics),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilder.java,public KafkaItemReaderBuilder<K; V> offsetsProvider(OffsetsProvider offsetsProvider),null
ADD,229fed4e2468a7ae1f6775fdb7729955e4d4189e,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/database/JpaItemWriter.java,null,public void setUsePersist(boolean usePersist)
ADD,7c1fbede1b53f1f6e00f6dd1dc614d1a99faf09c,spring-batch-core/src/main/java/org/springframework/batch/core/explore/JobExplorer.java,null,default JobInstance getLastJobInstance(String jobName)
ADD,7c1fbede1b53f1f6e00f6dd1dc614d1a99faf09c,spring-batch-core/src/main/java/org/springframework/batch/core/explore/JobExplorer.java,null,default JobExecution getLastJobExecution(JobInstance jobInstance)
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-core/src/main/java/org/springframework/batch/core/metrics/BatchMetrics.java,null,public static Duration calculateDuration(@Nullable Date startTime; @Nullable Date endTime)
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-core/src/main/java/org/springframework/batch/core/metrics/BatchMetrics.java,null,public static String formatDuration(@Nullable Duration duration)
ADD,7c1fbede1b53f1f6e00f6dd1dc614d1a99faf09c,spring-batch-core/src/main/java/org/springframework/batch/core/explore/support/SimpleJobExplorer.java,null,public JobExecution getLastJobExecution(JobInstance jobInstance)
ADD,7c1fbede1b53f1f6e00f6dd1dc614d1a99faf09c,spring-batch-core/src/main/java/org/springframework/batch/core/explore/support/SimpleJobExplorer.java,null,public JobInstance getLastJobInstance(String jobName)
ADD,57c8d70ff3f400b54389337809332eebb14d87a2,spring-batch-core/src/main/java/org/springframework/batch/core/StepContribution.java,null,public StepExecution getStepExecution()
ADD,62a8f441ab0ab0447cf9e5eabcfd72a106558ef2,spring-batch-core/src/main/java/org/springframework/batch/core/repository/dao/JdbcStepExecutionDao.java,null,public StepExecution getLastStepExecution(JobInstance jobInstance; String stepName)
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,null,public static void setUpTopics()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,null,public void testValidation()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,null,public void testReadFromSinglePartition()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,null,public void testReadFromMultiplePartitions()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,null,public void testReadFromSinglePartitionAfterRestart()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,null,public void testReadFromMultiplePartitionsAfterRestart()
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,public void testAfterPropertiesSet(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,public void testAssignTopicPartitions(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,public void testRead(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,public void testPollRecords(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,public void testSeekOnSavedState(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemReaderTests.java,public void testSeekToProvidedOffsets(),null
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testCalculateDuration()
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testCalculateDurationWhenNoStartTime()
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testCalculateDurationWhenNoEndTime()
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,private Date toDate(LocalDateTime localDateTime)
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testFormatValidDuration()
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testFormatValidDurationWithoutHours()
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testFormatValidDurationWithoutMinutes()
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testFormatValidDurationWithoutSeconds()
